Column1,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
0,Abelia,Abelia,Caprifoliaceae,Shrub,"2-10 ft. tall, 2-8 ft. wide","Full, Partial","Loamy, Moist but well-drained","Acidic, Neutral","Spring, Summer, Fall","Pink, Yellow, White","4-11, USA",Asia,
1,Acoma crape myrtle,Lagerstroemia x ‘Acoma’,Lythraceae,Tree,2-15 ft. tall and 2-10 ft. wide,Full,Well-draining,Slightly acidic to neutral,"Spring, summer",White,"7, 8, 9","Asia, Australia",
2,Aeonium,Aeonium spp.,Crassulaceae,Perennial succulent,2-60 in. (depending on species and variety),Full sun to part shade,Sandy loam,5.6-6.0 (slightly acidic),Late winter or spring,"Pink (flowering is rare, occurring only in mature plants)",9-11 (USDA); often grown as potted plants,"Canary Islands, Africa",
3,Aerangis orchids,Aerangis spp.,,Epiphytic orchids,6-24 inches (varies by species),"Part sun, bright filtered light",Orchid potting mix,5.5 to 6.0 (acidic),Spring to fall (varies by species),"White, yellow",10-11 (USDA),"Tropical Africa, Madagascar",
4,Osteospermum spp.,"African daisy, cape daisy, osteospermum",Asteraceae,Perennial,"1-3 ft. tall, 1-2 ft. wide",Full sun,"Moist, well-drained",5.0 -5.5 (Acidic),"Spring, summer, fall","Purple, pink, yellow, orange, white, bicolor",10-11 (USDA),"Africa, Southwestern Asia",
5,African fern pine,Afrocarpus gracilior or Podocarpus gracilior,,Coniferous tree,"40-60 feet, 20-35 feet wide",Full sun (tolerates part shade),Well-draining,6.0 to 7.0 (slightly acidic to neutral),Spring (flowers are insignificant),Yellow,9-11 (USDA),East Africa,
6,Amazonian elephant's ear,Alocasia x amazonica,,Tropical,"1-2 ft. tall, 1-2 ft. wide",Partial,"Moist, well-drained",Neutral to acidic,"Spring, summer (rarely blooms)",Green,9-11 (USDA),Asia,"Toxic to humans, dogs, and cats"
7,"African milk tree, African milk bush",Euphorbia trigona,Euphorbiaceae,Succulent,6-8 feet,Indirect sun to partial shade,"Medium rich, well-drained",6.1 to 7.8 (mildly acidic to mildly alkaline),"Spring, summer",White (outdoors only),9b-11 (USDA),Central Africa,Toxic to humans and pets
8,"Giant hyssop, hummingbird mint, licorice mint","Agastache rupestris, Agastache foeniculum, etc",,Herbaceous perennial,3 to 5 ft. tall,Full sun,"Lean soil, well-drained",Slightly acidic,Summer,"Various (blue,purple, red, orange, pink, white)",3 to 10 (USDA) (depends on variety),"North America, Asia, South America",
9,"Agave, century plant",Agave,Asparagaceae,"Perennial, succulent","1-20 ft. tall, 1-10 ft. wide (depends on variety)",Full,"Sandy, well-drained","Acidic, neutral",Varies — most plants only bloom once in their lifetime,"Green, white, yellow","5-11, USA","North America, Central America, South America","Toxic to people, toxic to pets"
10,Air plant,Tillandsia cacticola,,Houseplant or annual,6 inches tall and 6 to 18 inches wide,"Bright, indirect light to full sun",Not applicable,Not applicable,"Once, when fully matured",White,9 to 11,Peru,
11,"Bugleweed, common bugleweed, ajuga, carpet bugle, blue bugle, carpetweed, carpenter's herb",Ajuga reptans,Lamiaceae,Herbaceous perennial,6 to 9 in. tall and 6 to 12 in. wide,Full sun to partial shade,"Medium-moisture, well-drained",Slightly acidic 6.5,May to June,"Blue, violet",4 to 9 (USDA),"Europe, northern Africa, southwestern Asia",
12,"Aleppo pine, Jerusalem pine",Pinus halepensis,Pinaceae,"Evergreen, Tree","20 to 50 ft. tall, 20 ft. wide",Full sun,"Loamy, Sandy","Acidic, Neutral, Alkaline",,,"8-11, USDA",Mediterranean,
13,"Algerian ivy, Canary Island ivy, Madeira ivy",Hedera algeriensis,,Evergreen vine,"20-40 ft. long vine, 3-ft. spread",Partial shade to partial sun,"Neutral, well-draining","Neutral, slightly acidic",Spring,Flowers rarely; light green,7-11 (USDA),North Africa,Toxic to humans and animals
14,"Alligator juniper, checkerbark juniper, western juniper",Juniperus deppeana,,Evergreen tree,50' tall,Full sun,"Dry, well-draining",5.5 - 7.0,Winter,Seed cones,9-Jul,"Mexico, southern United States",
15,"Alocasia, elephant ear",Alocasia spp.,"Araceae, or Aroid",Herbaceous perennial,"2-15 ft. tall, 2-8 ft. spread (depends on species and variety)",Bright indirect light indoors; part shade outdoors,"Loose, well-draining potting mix or crumbly loam",Slightly acidic (5.5 to 6.5),Spring and summer,Light butter-yellow (flowers are not showy),10-11 (USDA),"Tropical and subtropical regions of Asia, eastern Australia","Toxic to dogs, cats, and humans"
16,"Rose of Sharon, shrub althea, rose mallow, Syrian mallow, Syrian hibiscus",Hibiscus syriacus,Malvaceae,Shrub,"8-12 ft. tall, 6-10 ft. wide","Full, partial","Moist, well-drained","Acidic, neutral","Summer, fall","Pink, purple, lavender, red, blue, white; often with dark throats","5-8, USDA",Asia,
17,"Aluminum Plant, Watermelon Pilea",Pilea cadierei,,,1 - 2 ft,"At least four hours of indirect, sun a day",Sandy soil mixture,Slight acidic to neutral,Rarely blooms,White,"9b-11, USA",,
18,,Lobularia maritima,Brassicaceae,Herbaceous perennial,"3-9 in. tall, 6-12 in. wide",Full or partial,Moist but well-drained,Neutral to acidic,"Spring, fall","White, pink, purple",5-9 (USDA),Europe,
19,,Amaranthus,Amaranthaceae,"Herbaceous, annual","2-5 ft. tall, 1-2 ft. wide","Full, partial",Moist but well-drained,Neutral to acidic,"Summer, fall, winter","Red, burgundy, pink, orange, green",2-11 (USDA),"North America, Central America",
20,Amaryllis,Hippeastrum (Group),,Perennial bulb,1 to 2 feet tall; 9- to 12-inch spread,Full sun to part shade,"Rich, well-drained soil (outdoors); rich potting mix (indoors)",6.0 to 6.5 (slightly acidic),Seasonal bloomer,"Red, pink, white with spots and bands",8 to 10 (USDA),Central and South America,Mildly toxic
21,"Ambassador allium, Ambassador flowering onion",Allium'Ambassador',,Bulb plant,46 inches tall,Full sun,"Friable,evenly moist, and well-drained",Slightly acidic to neutral,May to June,Lightpurple,5 to 8,Northern Hemisphere,Toxic to dogs and cats
22,American beech tree,Fagus grandifolia,Fagaceae,Deciduous tree,"50-80 ft. tall, 40-80 ft. wide","Full, partial","Medium moisture,rich, well-drained",Acidic (5.0-6.5),April to May,Yellowish-green(not showy),3 to 9 (USDA),Eastern North America,Unripe nuts are mildly toxic
23,"Common elderberry, black elderberry, American elderberry",Sambucus canadensis,,Deciduous shrub,"5-12 ft. tall, 3-6 ft. wide","Full sun, partial shade",Moist but well-drained,Neutral but acidic,Summer,White,3-9 (USDA),North America,Toxic to people and pets; fruit is non-toxic to people once cooked
24,American persimmon,Diospyros virginiana,,Deciduous tree,35 to 50 feet,"Full sun, afternoon shade","Tolerant of all soils except salt, loam preferred",6.5 to 7.5,Late spring,White or pink,4 to 9 (USDA),Eastern North America,
25,American wisteria,Wisteria frutescens,,Vine,20 to 30 ft. long,"Full, partial",Moist but well-drained,"Acidic, neutral","Spring, summer","Blue, purple, white","5 to 9, USA",North America,Toxic to humans and pets
26,Amur adonis,Adonis amurensis,,Herbaceous perennial,1 foot tall (with a somewhat greater spread),Full sun to partial shade,Well-drained,Slightly acidic to slightly alkaline,March or April in zone 5,Yellow,3 to 7,Northeastern Asia,
27,"Anemone, windflower, Grecian windflower, poppy windflower",Anemone spp.,Ranunculaceae,Herbaceous perennial,"6 in.-4 ft. tall, 2-3 ft. wide (varies by species)",Full to partial,"Rich, moist",Acidic to neutral (5.6-7.5),"Spring, summer, fall (varies by species)","Red, orange, yellow-green, blue, purple, red-purple, white, ivory, pink",3-10 (USDA); varies by species,Temperate zones worldwide; many species are native to North America,"Toxic to humans, toxic to pets"
28,,Daturainoxia,,"Herbaceous, perennial","2-3 ft. tall, 3-6 ft. wide",Full,"Loamy, well-drained","Neutral, alkaline","Summer, fall","Cream, pink, lavender",9-10 (USDA),"North America, Central America, South America",Toxic to people and animals
29,,Agastache foeniculum,,,,,,Neutral,,,,,
30,Angelica,Angelicaarchangelica,Apiaceae,,3 to 6 ft. tall,"Full sun, part shade","Rich, moistsoil",Slightly acidic,June to August,"Green, White","Zones4-7, USDA",,
31,"Angelina stonecrop, rocky stonecrop",Sedum rupestre 'Angelina',Crassulaceae,Herbaceous perennial,"4-6 in. tall, 1-3 ft. wide","Full, partial","Moderately moist, well-draining",6.0 to 7.0 (slightly acidic to neutral),Summer,Yellow,5a-9a (USDA),"Europe, Turkey",
32,"Anise magnolia, willow leaf magnolia",,Magnoliaceae,Deciduous tree,20-30 ft. tall and wide,"Full, partial","Moist, well-drained",Acidic (4.5-6.5),Early spring,White,4-9 (USDA),,
33,,Anthurium spp.,Araceae,Herbaceous perennial,"12-18 in., 9- to 12-inch spread",Bright indirect light,"Coarse, moist potting mix",Acidic (5.5 to 6.5),"Flowers year-round, usually 3-month intervals","Red, pink, white with a contrasting spadix",11 to 12,"Central America, South America, Caribbean",Toxic to humans and pets
34,Apricot Tree,Prunusarmeniaca,,,20-30 ft. tall and wide.,Full Sun,"average, medium moisture, well-drained",Neutral to Slightly Alkaline,Late April,white or pink,USDA 5-8,,
35,Arabian jasmine,Jasminum sambac,,Evergreen,"6-10 ft. tall, 6-10 ft. wide","Full, partial","Loamy, moist but well-drained","Acidic, neutral",Summer,"Pink, white","9-11, USA",Asia,
36,,Dypsis lutescens (formerly Chrysalidocarpus lutescens),Arecaceae,Perennial,"20-35 ft. tall, 10-20 ft. wide","Full, partial","Moist, well-drained","Acidic, neutral",Summer,Pale yellow,10-11 (USDA),Madagascar,
37,,Aronia melanocarpa,,Shrub,3-6 ft. tall and wide,"Full, partial",Well-drained,Acidic,Spring,White,,North America,
38,Arrowhead vine,Syngonium podophyllum,,Vine,"3-6 ft. tall, 1-2 ft. wide",Partial shade,Moist but well-drained,Neutral to acidic,Summer (rarely flowers),White,10-12 (USDA),"South America, Mexico",Toxic to dogs and cats
39,,Viburnum dentatum,,,6-10 ft. tall and wide,"Full, partial","Loamy, moist, well-drained",Acidic,Spring,White,2-8 (USDA),North America,
40,,Artemisia spp.,,Mostly herbaceous perennials; genus also include some annuals and woody shrubs,8 inches to 5 feet tall depending on variety,Full sun,"Any average, well-drained soil",Any soil pH,August to September,White or yellow,4-10 (USDA); varies according tospecies,Depends on species,Toxic to people; Tarragon species is toxic to pets
41,"Artichoke, globe artichoke, French artichoke, green artichoke",Cynara scolymus,Asteraceae,"Herbaceous, perennial","3-6 ft. tall, 4-5 ft. wide",Full,Well-drained,Neutral,"Summer, fall",Purple,7-11 (USDA),Mediterranean,
42,"Arugula, rocket, garden rocket",Eruca versicaria,Brassicaceae,"Annual, vegetable",,"Full sun, part shade","Loamy, moist, well-drained","Acidic, neutral (6 to 7)",Seasonal,,2-11 (USDA),Mediterranean,
43,"Calla lily, arum lily",Zantedeschia aethiopica,Araceae,Rhizome,"2-3 ft. tall, 1-2 ft. wide","Full, partial",Moist but well-drained,Acidic,Summer,"White, pink, coral, maroon, orange, yellow",8 to 10,"Africa (South Africa, Swaziland)","Toxic to humans, toxic to pets"
44,,Magnolia ashei,,Tree,25 ft. tall,"Full Sun, Partial Shade","Fertile, Well-drained","Acid, Neutral, Alkaline","Spring, Summer",White,"6-9, USA",,
45,Asparagus,Asparagus officinalis,Asparagaceae,Perennial vegetable,"5 ft. tall, 3 ft. wide",Full sun,"Sandy, loamy",Neutral to slightly acidic (6.5 to 7.0),"Summer, fall","Pale yellow, greenish","4-9, USA","Europe, Africa",
46,Asparagus fern,"Asparagus aethiopicus, A. densiflorus",Asparagaceae,Herbaceous perennial,"Up to 3 ft. tall, 4 ft. wide","Partial (outdoor); bright, indirect light (indoors)",Well-drained potting mix,Slightly acidic (6.5-6.8),Spring to fall,White; flowers are insignificant,9-11 (USDA),South Africa,Mildly toxic humans; moderately toxic to dogs and cats
